dataset,model,fold,subject,minutes,adapt_thr
MASS-SS2-E1SS,v2_cwt1d,0,9,10.00,0.46
MASS-SS2-E1SS,v2_cwt1d,0,9,15.00,0.42
MASS-SS2-E1SS,v2_cwt1d,0,9,20.00,0.72
MASS-SS2-E1SS,v2_cwt1d,0,9,25.00,0.46
MASS-SS2-E1SS,v2_cwt1d,0,9,30.00,0.42
MASS-SS2-E1SS,v2_cwt1d,0,11,3.00,0.68
MASS-SS2-E1SS,v2_cwt1d,0,11,5.00,0.70
MASS-SS2-E1SS,v2_cwt1d,0,11,7.50,0.70
MASS-SS2-E1SS,v2_cwt1d,0,11,10.00,0.70
MASS-SS2-E1SS,v2_cwt1d,0,11,15.00,0.70
MASS-SS2-E1SS,v2_cwt1d,0,11,20.00,0.70
MASS-SS2-E1SS,v2_cwt1d,0,11,25.00,0.70
MASS-SS2-E1SS,v2_cwt1d,0,11,30.00,0.70
MASS-SS2-E1SS,v2_cwt1d,1,6,3.00,0.44
MASS-SS2-E1SS,v2_cwt1d,1,6,5.00,0.70
MASS-SS2-E1SS,v2_cwt1d,1,6,7.50,0.70
MASS-SS2-E1SS,v2_cwt1d,1,6,10.00,0.74
MASS-SS2-E1SS,v2_cwt1d,1,6,15.00,0.74
MASS-SS2-E1SS,v2_cwt1d,1,6,20.00,0.44
MASS-SS2-E1SS,v2_cwt1d,1,6,25.00,0.74
MASS-SS2-E1SS,v2_cwt1d,1,6,30.00,0.52
MASS-SS2-E1SS,v2_cwt1d,1,12,3.00,0.44
MASS-SS2-E1SS,v2_cwt1d,1,12,5.00,0.56
MASS-SS2-E1SS,v2_cwt1d,1,12,7.50,0.88
MASS-SS2-E1SS,v2_cwt1d,1,12,10.00,0.76
MASS-SS2-E1SS,v2_cwt1d,1,12,15.00,0.52
MASS-SS2-E1SS,v2_cwt1d,1,12,20.00,0.38
MASS-SS2-E1SS,v2_cwt1d,1,12,25.00,0.38
MASS-SS2-E1SS,v2_cwt1d,1,12,30.00,0.38
MASS-SS2-E1SS,v2_cwt1d,1,19,3.00,0.78
MASS-SS2-E1SS,v2_cwt1d,1,19,5.00,0.60
MASS-SS2-E1SS,v2_cwt1d,1,19,7.50,0.80
MASS-SS2-E1SS,v2_cwt1d,1,19,10.00,0.82
MASS-SS2-E1SS,v2_cwt1d,1,19,15.00,0.58
MASS-SS2-E1SS,v2_cwt1d,1,19,20.00,0.64
MASS-SS2-E1SS,v2_cwt1d,1,19,25.00,0.64
MASS-SS2-E1SS,v2_cwt1d,1,19,30.00,0.58
MASS-SS2-E1SS,v2_cwt1d,2,3,3.00,0.26
MASS-SS2-E1SS,v2_cwt1d,2,3,5.00,0.34
MASS-SS2-E1SS,v2_cwt1d,2,3,7.50,0.86
MASS-SS2-E1SS,v2_cwt1d,2,3,10.00,0.86
MASS-SS2-E1SS,v2_cwt1d,2,3,15.00,0.88
MASS-SS2-E1SS,v2_cwt1d,2,3,20.00,0.88
